Animal,Exp,Tratamiento,Edad,Sexo,Hora,Intensidad,Lux,IM/100,IMdec,IM,TotalEstimulos,Respuestas,Freezing,HeadBobbing,Rearing
RataJoven1,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
RataJoven1,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,1,0,1,0
RataJoven1,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,2,0,2,0
RataJoven1,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,1,0,2
RataJoven1,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,2,0,1
RataJoven2,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
RataJoven2,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,0,0,0
RataJoven2,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,2,0,1,1
RataJoven2,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,0,1,1
RataJoven2,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,2,0,1
RataVieja1,PuestaAPunto,Naive,Vieja,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
RataVieja1,PuestaAPunto,Naive,Vieja,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
RataVieja1,PuestaAPunto,Naive,Vieja,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
RataVieja1,PuestaAPunto,Naive,Vieja,M,2pm,4,"15,9","0,174","17,403",18,3,1,,,
RataVieja1,PuestaAPunto,Naive,Vieja,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
RataVieja2,PuestaAPunto,Naive,Vieja,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
RataVieja2,PuestaAPunto,Naive,Vieja,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
RataVieja2,PuestaAPunto,Naive,Vieja,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
RataVieja2,PuestaAPunto,Naive,Vieja,M,2pm,4,"15,9","0,174","17,403",18,3,2,,,
RataVieja2,PuestaAPunto,Naive,Vieja,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
RataVieja3,PuestaAPunto,Naive,Vieja,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
RataVieja3,PuestaAPunto,Naive,Vieja,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
RataVieja3,PuestaAPunto,Naive,Vieja,M,2pm,3,"16,5","0,156","15,601",15,3,1,,,
RataVieja3,PuestaAPunto,Naive,Vieja,M,2pm,4,"15,9","0,174","17,403",18,3,2,,,
RataVieja3,PuestaAPunto,Naive,Vieja,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
RataVieja4,PuestaAPunto,Naive,Vieja,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
RataVieja4,PuestaAPunto,Naive,Vieja,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
RataVieja4,PuestaAPunto,Naive,Vieja,M,2pm,3,"16,5","0,156","15,601",15,3,0,,,
RataVieja4,PuestaAPunto,Naive,Vieja,M,2pm,4,"15,9","0,174","17,403",18,3,1,,,
RataVieja4,PuestaAPunto,Naive,Vieja,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
RataVieja5,PuestaAPunto,Naive,Vieja,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
RataVieja5,PuestaAPunto,Naive,Vieja,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
RataVieja5,PuestaAPunto,Naive,Vieja,M,2pm,3,"16,5","0,156","15,601",15,3,1,,,
RataVieja5,PuestaAPunto,Naive,Vieja,M,2pm,4,"15,9","0,174","17,403",18,3,2,,,
RataVieja5,PuestaAPunto,Naive,Vieja,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
RataJoven3,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
RataJoven3,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,1,,,
RataJoven3,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,1,,,
RataJoven3,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,,,
RataJoven3,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
RataJoven4,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,,,
RataJoven4,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,,,
RataJoven4,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,1,,,
RataJoven4,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,3,,,
RataJoven4,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,,,
RataHembra1,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
RataHembra1,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5","0,127","12,718",12,3,1,0,0,0
RataHembra1,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5","0,156","15,601",15,3,1,0,0,1
RataHembra1,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9","0,174","17,403",18,3,2,0,1,1
RataHembra1,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6","0,215","21,505",22,3,3,3,0,0
RataHembra2,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
RataHembra2,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5","0,127","12,718",12,3,2,0,2,0
RataHembra2,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5","0,156","15,601",15,3,3,0,2,1
RataHembra2,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9","0,174","17,403",18,3,3,0,1,2
