Animal,Exp,Tratamiento,Edad,Sexo,Hora,Intensidad,Lux,IM/100,IMdec,IM,TotalEstimulos,Respuestas,Freezing,HeadBobbing,Rearing
1123,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,0,0,0
1123,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5",127,"12,718",12,3,1,0,1,0
1123,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5",156,"15,601",15,3,2,0,2,0
1123,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9",174,"17,403",18,3,2,1,0,2
1123,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,2,0,1
1124,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,0,0,0
1124,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,0,0,0
1124,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5",156,"15,601",15,3,2,0,1,1
1124,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9",174,"17,403",18,3,2,0,1,1
1124,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,2,0,1
1536,PuestaAPunto,Naive,Vieja,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1536,PuestaAPunto,Naive,Vieja,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1536,PuestaAPunto,Naive,Vieja,M,2pm,3,"16,5",156,"15,601",15,3,0,,,
1536,PuestaAPunto,Naive,Vieja,M,2pm,4,"15,9",174,"17,403",18,3,1,,,
1536,PuestaAPunto,Naive,Vieja,M,2pm,5,"14,6",215,"21,505",22,3,3,,,
1537,PuestaAPunto,Naive,Vieja,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1537,PuestaAPunto,Naive,Vieja,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1537,PuestaAPunto,Naive,Vieja,M,2pm,3,"16,5",156,"15,601",15,3,0,,,
1537,PuestaAPunto,Naive,Vieja,M,2pm,4,"15,9",174,"17,403",18,3,2,,,
1537,PuestaAPunto,Naive,Vieja,M,2pm,5,"14,6",215,"21,505",22,3,3,,,
1538,PuestaAPunto,Naive,Vieja,M,2pm,1,"18,8",92,"9,179",8,3,0,,,
1538,PuestaAPunto,Naive,Vieja,M,2pm,2,"17,5",127,"12,718",12,3,0,,,
1538,PuestaAPunto,Naive,Vieja,M,2pm,3,"16,5",156,"15,601",15,3,1,,,
1538,PuestaAPunto,Naive,Vieja,M,2pm,4,"15,9",174,"17,403",18,3,2,,,
