Animal,Exp,Tratamiento,Edad,Sexo,Intensidad,IMv,IM,TotalEstimulos,Respuestas
HembraJoven1,PuestaAPunto,Naive,Joven,H,1,"6,9",4,4,0
HembraJoven1,PuestaAPunto,Naive,Joven,H,2,"13,2",6,4,2
HembraJoven1,PuestaAPunto,Naive,Joven,H,3,"19,8",8,4,3
HembraJoven1,PuestaAPunto,Naive,Joven,H,4,"27,2",10,4,3
HembraJoven1,PuestaAPunto,Naive,Joven,H,5,"34,1",12,4,4
HembraJoven1,PuestaAPunto,Naive,Joven,H,6,"45,0",16,4,4
HembraJoven2,PuestaAPunto,Naive,Joven,H,1,"6,9",4,4,0
HembraJoven2,PuestaAPunto,Naive,Joven,H,2,"13,2",6,4,1
HembraJoven2,PuestaAPunto,Naive,Joven,H,3,"19,8",8,4,2
HembraJoven2,PuestaAPunto,Naive,Joven,H,4,"27,2",10,4,3
HembraJoven2,PuestaAPunto,Naive,Joven,H,5,"34,1",12,4,4
HembraJoven2,PuestaAPunto,Naive,Joven,H,6,"45,0",16,4,4
HembraJoven3,PuestaAPunto,Naive,Joven,H,1,"6,9",4,4,0
HembraJoven3,PuestaAPunto,Naive,Joven,H,2,"13,2",6,4,1
HembraJoven3,PuestaAPunto,Naive,Joven,H,3,"19,8",8,4,2
HembraJoven3,PuestaAPunto,Naive,Joven,H,4,"27,2",10,4,2
HembraJoven3,PuestaAPunto,Naive,Joven,H,5,"34,1",12,4,4
HembraJoven3,PuestaAPunto,Naive,Joven,H,6,"45,0",16,4,4
HembraJoven4,PuestaAPunto,Naive,Joven,H,1,"6,9",4,4,1
HembraJoven4,PuestaAPunto,Naive,Joven,H,2,"13,2",6,4,2
HembraJoven4,PuestaAPunto,Naive,Joven,H,3,"19,8",8,4,2
HembraJoven4,PuestaAPunto,Naive,Joven,H,4,"27,2",10,4,4
HembraJoven4,PuestaAPunto,Naive,Joven,H,5,"34,1",12,4,4
HembraJoven4,PuestaAPunto,Naive,Joven,H,6,"45,0",16,4,4
HembraJoven5,PuestaAPunto,Naive,Joven,H,1,"6,9",4,4,1
HembraJoven5,PuestaAPunto,Naive,Joven,H,2,"13,2",6,4,2
HembraJoven5,PuestaAPunto,Naive,Joven,H,3,"19,8",8,4,3
HembraJoven5,PuestaAPunto,Naive,Joven,H,4,"27,2",10,4,4
HembraJoven5,PuestaAPunto,Naive,Joven,H,5,"34,1",12,4,4
HembraJoven5,PuestaAPunto,Naive,Joven,H,6,"45,0",16,4,4
HembraJoven6,PuestaAPunto,Naive,Joven,H,1,"6,9",4,4,0
HembraJoven6,PuestaAPunto,Naive,Joven,H,2,"13,2",6,4,1
HembraJoven6,PuestaAPunto,Naive,Joven,H,3,"19,8",8,4,3
HembraJoven6,PuestaAPunto,Naive,Joven,H,4,"27,2",10,4,2
HembraJoven6,PuestaAPunto,Naive,Joven,H,5,"34,1",12,4,4
HembraJoven6,PuestaAPunto,Naive,Joven,H,6,"45,0",16,4,4
HembraJoven7,PuestaAPunto,Naive,Joven,H,1,"6,9",4,4,0
HembraJoven7,PuestaAPunto,Naive,Joven,H,2,"13,2",6,4,1
HembraJoven7,PuestaAPunto,Naive,Joven,H,3,"19,8",8,4,0
HembraJoven7,PuestaAPunto,Naive,Joven,H,4,"27,2",10,4,2
HembraJoven7,PuestaAPunto,Naive,Joven,H,5,"34,1",12,4,4
HembraJoven7,PuestaAPunto,Naive,Joven,H,6,"45,0",16,4,4
HembraJoven8,PuestaAPunto,Naive,Joven,H,1,"6,9",4,4,1
HembraJoven8,PuestaAPunto,Naive,Joven,H,2,"13,2",6,4,1
HembraJoven8,PuestaAPunto,Naive,Joven,H,3,"19,8",8,4,3
HembraJoven8,PuestaAPunto,Naive,Joven,H,4,"27,2",10,4,4
HembraJoven8,PuestaAPunto,Naive,Joven,H,5,"34,1",12,4,4
HembraJoven8,PuestaAPunto,Naive,Joven,H,6,"45,0",16,4,4
HembraVieja1,PuestaAPunto,Naive,Vieja,H,1,"6,9",4,4,0
HembraVieja1,PuestaAPunto,Naive,Vieja,H,2,"13,2",6,4,0
HembraVieja1,PuestaAPunto,Naive,Vieja,H,3,"19,8",8,4,0
HembraVieja1,PuestaAPunto,Naive,Vieja,H,4,"27,2",10,4,1
HembraVieja1,PuestaAPunto,Naive,Vieja,H,5,"34,1",12,4,2
HembraVieja1,PuestaAPunto,Naive,Vieja,H,6,"45,0",16,4,3
HembraVieja2,PuestaAPunto,Naive,Vieja,H,1,"6,9",4,4,1
HembraVieja2,PuestaAPunto,Naive,Vieja,H,2,"13,2",6,4,1
HembraVieja2,PuestaAPunto,Naive,Vieja,H,3,"19,8",8,4,2
HembraVieja2,PuestaAPunto,Naive,Vieja,H,4,"27,2",10,4,2
HembraVieja2,PuestaAPunto,Naive,Vieja,H,5,"34,1",12,4,3
HembraVieja2,PuestaAPunto,Naive,Vieja,H,6,"45,0",16,4,4
HembraVieja3,PuestaAPunto,Naive,Vieja,H,1,"6,9",4,4,0
HembraVieja3,PuestaAPunto,Naive,Vieja,H,2,"13,2",6,4,0
HembraVieja3,PuestaAPunto,Naive,Vieja,H,3,"19,8",8,4,1
HembraVieja3,PuestaAPunto,Naive,Vieja,H,4,"27,2",10,4,1
HembraVieja3,PuestaAPunto,Naive,Vieja,H,5,"34,1",12,4,2
HembraVieja3,PuestaAPunto,Naive,Vieja,H,6,"45,0",16,4,4
HembraVieja4,PuestaAPunto,Naive,Vieja,H,1,"6,9",4,4,0
HembraVieja4,PuestaAPunto,Naive,Vieja,H,2,"13,2",6,4,0
HembraVieja4,PuestaAPunto,Naive,Vieja,H,3,"19,8",8,4,2
HembraVieja4,PuestaAPunto,Naive,Vieja,H,4,"27,2",10,4,2
HembraVieja4,PuestaAPunto,Naive,Vieja,H,5,"34,1",12,4,4
HembraVieja4,PuestaAPunto,Naive,Vieja,H,6,"45,0",16,4,3
HembraVieja5,PuestaAPunto,Naive,Vieja,H,1,"6,9",4,4,0
HembraVieja5,PuestaAPunto,Naive,Vieja,H,2,"13,2",6,4,0
HembraVieja5,PuestaAPunto,Naive,Vieja,H,3,"19,8",8,4,0
HembraVieja5,PuestaAPunto,Naive,Vieja,H,4,"27,2",10,4,1
HembraVieja5,PuestaAPunto,Naive,Vieja,H,5,"34,1",12,4,3
HembraVieja5,PuestaAPunto,Naive,Vieja,H,6,"45,0",16,4,3
MachoJoven1,PuestaAPunto,Naive,Joven,M,1,"6,9",4,4,0
MachoJoven1,PuestaAPunto,Naive,Joven,M,2,"13,2",6,4,1
MachoJoven1,PuestaAPunto,Naive,Joven,M,3,"19,8",8,4,2
MachoJoven1,PuestaAPunto,Naive,Joven,M,4,"27,2",10,4,3
MachoJoven1,PuestaAPunto,Naive,Joven,M,5,"34,1",12,4,4
MachoJoven1,PuestaAPunto,Naive,Joven,M,6,"45,0",16,4,4
MachoJoven2,PuestaAPunto,Naive,Joven,M,1,"6,9",4,4,0
MachoJoven2,PuestaAPunto,Naive,Joven,M,2,"13,2",6,4,1
MachoJoven2,PuestaAPunto,Naive,Joven,M,3,"19,8",8,4,2
MachoJoven2,PuestaAPunto,Naive,Joven,M,4,"27,2",10,4,3
MachoJoven2,PuestaAPunto,Naive,Joven,M,5,"34,1",12,4,3
MachoJoven2,PuestaAPunto,Naive,Joven,M,6,"45,0",16,4,4
MachoJoven3,PuestaAPunto,Naive,Joven,M,1,"6,9",4,4,0
MachoJoven3,PuestaAPunto,Naive,Joven,M,2,"13,2",6,4,0
MachoJoven3,PuestaAPunto,Naive,Joven,M,3,"19,8",8,4,3
MachoJoven3,PuestaAPunto,Naive,Joven,M,4,"27,2",10,4,2
MachoJoven3,PuestaAPunto,Naive,Joven,M,5,"34,1",12,4,3
MachoJoven3,PuestaAPunto,Naive,Joven,M,6,"45,0",16,4,4
MachoJoven4,PuestaAPunto,Naive,Joven,M,1,"6,9",4,4,0
MachoJoven4,PuestaAPunto,Naive,Joven,M,2,"13,2",6,4,0
MachoJoven4,PuestaAPunto,Naive,Joven,M,3,"19,8",8,4,2
MachoJoven4,PuestaAPunto,Naive,Joven,M,4,"27,2",10,4,2
MachoJoven4,PuestaAPunto,Naive,Joven,M,5,"34,1",12,4,3
MachoJoven4,PuestaAPunto,Naive,Joven,M,6,"45,0",16,4,4
MachoJoven5,PuestaAPunto,Naive,Joven,M,1,"6,9",4,4,1
MachoJoven5,PuestaAPunto,Naive,Joven,M,2,"13,2",6,4,0
MachoJoven5,PuestaAPunto,Naive,Joven,M,3,"19,8",8,4,1
MachoJoven5,PuestaAPunto,Naive,Joven,M,4,"27,2",10,4,3
MachoJoven5,PuestaAPunto,Naive,Joven,M,5,"34,1",12,4,4
MachoJoven5,PuestaAPunto,Naive,Joven,M,6,"45,0",16,4,4
MachoJoven6,PuestaAPunto,Naive,Joven,M,1,"6,9",4,4,0
MachoJoven6,PuestaAPunto,Naive,Joven,M,2,"13,2",6,4,1
MachoJoven6,PuestaAPunto,Naive,Joven,M,3,"19,8",8,4,1
MachoJoven6,PuestaAPunto,Naive,Joven,M,4,"27,2",10,4,2
